Task ID,Gender,Ethnicity,Hair,Hair Style,Eye Color,Facial Features,Age,Personality,Skills And Abilities,Work Style,Professional Traits,Background Indicators,Clothing Style,Accessories
35a10274-6fdd-400c-8075-0b2d81dfab77,Man,African,White,Afro,Amber,Beard and Mustache,Mature adult,Friendly and Playful,Musical and Logical,Customer-focused and Collaborative,Experienced,Bilingual and Certified,Bohemian,Glasses
3f739a34-9e75-4379-8d72-5b1bceb4e04f,Woman,East Asian,White,Afro,Violet,Freckles and Clean-shaven,Older (60+),Compassionate,Tech-savvy,Multitasking,Reliable,Tech-educated and Well-traveled,Uniform,Headphones
503553a4-f975-4617-9477-5d7af2c6c5f0,Woman,Middle Eastern,Platinum,Braided,Green,Piercing,Senior (70+),Shy and Relaxed,Musical and Logical,Flexible,Diplomatic,Research-oriented,Avant-garde,Briefcase
ecc2ac5a-155f-41f9-91d5-ca9c73affcd1,Woman,African,Platinum,Mohawk,Red,Mole,Elderly,Serious and Playful,Artistic,Innovative,Innovative and Visionary,Tech-educated,Casual,Scarf
b968417a-5230-4753-b3ac-83ce969990ec,Man,Southeast Asian,Grey,Long,Grey,Glasses,Young adult,Confident,Analytical and Artistic,Detail-oriented and Customer-focused,Diplomatic and Resourceful,Certified and Entrepreneurial,Uniform,Scarf
1dae3a55-4bf1-49ad-ae33-7fd3484a74f6,Woman,Caucasian,Multi-colored,Short,Emerald,Dimples and Mole,Young adult,Confident and Playful,Creative,Independent and Collaborative,Reliable and Experienced,Interdisciplinary and Well-traveled,Avant-garde,Tie
e607a33b-46a0-43e1-bf42-dc7c7a334e1d,Man,Southeast Asian,Salt-and-pepper,Braided,Blue,Dimples and Clean-shaven,Middle-aged (40s),Energetic and Relaxed,Athletic and Communicative,Customer-focused and Collaborative,Reliable and Methodical,Certified and Interdisciplinary,Vintage,Headphones
fa843bf6-4e19-4553-a48c-8dc7dc7c6910,Man,Asian,Salt-and-pepper,Straight,Hazel,Clean-shaven and Mole,Mature adult,Shy and Relaxed,Leadership and Artistic,Goal-driven,Reliable,Multicultural,Sporty,Jewelry
93c15d10-daa4-47e5-b3a9-eaa7dfdd9b64,Woman,East Asian,White,Straight,Red,Dimples and Mole,Young (20s),Friendly and Shy,Empathetic and Musical,Innovative and Customer-focused,Visionary and Diplomatic,Tech-educated,Avant-garde,Jewelry
100cbe5b-4c30-464d-a1be-92b728b518e1,Man,East Asian,Black,Long,Blue,Dimples and Mole,Ageless,Compassionate,Creative,Multitasking and Collaborative,Resourceful,Bilingual and Interdisciplinary,Vintage,Watch
b38491b5-d636-4407-9198-07b23747ab26,Woman,South Asian,Black,Dreadlocks,Emerald,Freckles,Senior (70+),Compassionate,Athletic,Flexible,Methodical and Adaptable,Educated and Interdisciplinary,Trendy,Glasses
